区域类型,图纸区域名称,区域优先级,字段名称,code,数据类型,字段优先级,别名,字段类型,字段描述,字段值处理方式,是否为主键,枚举值
参数表,减压过滤器参数表,一般,减压过滤器型号,JYGLQXH,字符串,不重要,型号,图纸属性,,字段值无需标准化,,
参数表,减压过滤器参数表,一般,减压过滤器接管,JYGLQJG,字符串,不重要,接管,图纸属性,,字段值无需标准化,,
参数表,减压过滤器参数表,一般,减压过滤器通径,JYGLQTJ,区间和数值,不重要,通径,图纸属性,,字段值无需标准化,,
参数表,减压过滤器参数表,一般,调压范围,TYFW,字符串,不重要,调压范围,图纸属性,,字段值无需标准化,,
参数表,减压过滤器参数表,一般,过滤精度,GLJD,区间和数值,不重要,过滤精度,图纸属性,,字段值无需标准化,,
参数表,基本参数表,重要,三通接管壁厚,STJGBH,区间和数值,重要,三通接管壁厚(mm),阀门属性,三通接管壁厚，mm,字段值需要标准化,非主键,
参数表,基本参数表,重要,三通接管壁厚,STJGBH,区间和数值,重要,出口管道尺寸,阀门属性,三通接管壁厚，mm,字段值需要标准化,非主键,
参数表,基本参数表,重要,三通接管壁厚,STJGBH,区间和数值,重要,尺寸,阀门属性,三通接管壁厚，mm,字段值需要标准化,非主键,
参数表,基本参数表,重要,三通接管壁厚,STJGBH,区间和数值,重要,接管尺寸,阀门属性,三通接管壁厚，mm,字段值需要标准化,非主键,
参数表,基本参数表,重要,三通接管外径,STJGWJ,区间和数值,重要,三通接管外径(mm),阀门属性,三通接管外径，mm,字段值需要标准化,非主键,
参数表,基本参数表,重要,三通接管外径,STJGWJ,区间和数值,重要,出口管道尺寸,阀门属性,三通接管外径，mm,字段值需要标准化,非主键,
参数表,基本参数表,重要,三通接管外径,STJGWJ,区间和数值,重要,尺寸,阀门属性,三通接管外径，mm,字段值需要标准化,非主键,
参数表,基本参数表,重要,三通接管外径,STJGWJ,区间和数值,重要,接管尺寸,阀门属性,三通接管外径，mm,字段值需要标准化,非主键,
参数表,基本参数表,重要,三通接管材料,STJGCL,字符串,重要,下游接管材质,阀门属性,三通接管材料牌号,字段值无需标准化,非主键,
参数表,基本参数表,重要,三通接管材料,STJGCL,字符串,重要,出口管道材料,阀门属性,三通接管材料牌号,字段值无需标准化,非主键,
参数表,基本参数表,重要,三通接管材料,STJGCL,字符串,重要,接管材质,阀门属性,三通接管材料牌号,字段值无需标准化,非主键,
参数表,基本参数表,重要,三通接管材料,STJGCL,字符串,重要,材料,阀门属性,三通接管材料牌号,字段值无需标准化,非主键,
参数表,基本参数表,重要,入口接管壁厚,RKJGBH,区间和数值,重要,上游接管,阀门属性,入口接管壁厚(mm),字段值需要标准化,非主键,
参数表,基本参数表,重要,入口接管壁厚,RKJGBH,区间和数值,重要,入口接管壁厚(mm),阀门属性,入口接管壁厚(mm),字段值需要标准化,非主键,
参数表,基本参数表,重要,入口接管壁厚,RKJGBH,区间和数值,重要,入口管道接管规格,阀门属性,入口接管壁厚(mm),字段值需要标准化,非主键,
参数表,基本参数表,重要,入口接管壁厚,RKJGBH,区间和数值,重要,出口管道尺寸,阀门属性,入口接管壁厚(mm),字段值需要标准化,非主键,
参数表,基本参数表,重要,入口接管壁厚,RKJGBH,区间和数值,重要,尺寸,阀门属性,入口接管壁厚(mm),字段值需要标准化,非主键,
参数表,基本参数表,重要,入口接管壁厚,RKJGBH,区间和数值,重要,接管尺寸,阀门属性,入口接管壁厚(mm),字段值需要标准化,非主键,
参数表,基本参数表,重要,入口接管壁厚,RKJGBH,区间和数值,重要,接管尺寸（外径×壁厚）,阀门属性,入口接管壁厚(mm),字段值需要标准化,非主键,
参数表,基本参数表,重要,入口接管壁厚,RKJGBH,区间和数值,重要,进出口管径,阀门属性,入口接管壁厚(mm),字段值需要标准化,非主键,
参数表,基本参数表,重要,入口接管壁厚,RKJGBH,区间和数值,重要,进口管号,阀门属性,入口接管壁厚(mm),字段值需要标准化,非主键,
参数表,基本参数表,重要,入口接管外径,RKJGWJ,区间和数值,重要,上游接管,阀门属性,入口接管外径，mm,字段值需要标准化,非主键,
参数表,基本参数表,重要,入口接管外径,RKJGWJ,区间和数值,重要,入口接管外径(mm),阀门属性,入口接管外径，mm,字段值需要标准化,非主键,
参数表,基本参数表,重要,入口接管外径,RKJGWJ,区间和数值,重要,入口管道接管规格,阀门属性,入口接管外径，mm,字段值需要标准化,非主键,
参数表,基本参数表,重要,入口接管外径,RKJGWJ,区间和数值,重要,出口管道尺寸,阀门属性,入口接管外径，mm,字段值需要标准化,非主键,
